City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,Tuktoyaktuk,69.4541,-133.0374,12.2,92,100,5.75,CA,1650419201
291,Lüderitz,-26.6481,15.1594,74.93,28,0,8.3,NA,1650419201
292,Porto-Novo,6.4965,2.6036,80.42,83,100,3.89,BJ,1650419202
293,Gannan,47.9147,123.5031,74.61,13,100,11.74,CN,1650419202
294,Nizwá,22.9333,57.5333,75.61,14,3,2.55,OM,1650419202
295,Maniwaki,46.3834,-75.966,35.98,93,100,5.75,CA,1650419038
296,Vallenar,-28.5708,-70.7581,58.57,69,46,0.54,CL,1650419203
297,Saldanha,-33.0117,17.9442,70.45,35,70,12.21,ZA,1650419203
298,Gillette,44.2911,-105.5022,50.92,48,100,16.11,US,1650419204
299,Botou,38.0667,116.5667,73.17,25,0,11.68,CN,1650419204
300,Coahuayana Viejo,18.7333,-103.6833,72.88,87,2,1.39,MX,1650419204
301,Saint Paul Harbor,57.79,-152.4072,42.31,70,75,9.22,US,1650419205
302,Bundaberg,-24.85,152.35,82.69,71,40,12.66,AU,1650419205
303,Indramayu,-6.3264,108.32,80.06,73,100,5.48,ID,1650419205
304,Kamaishi,39.2667,141.8833,52.66,52,0,13.49,JP,1650419206
305,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,67.1,73,1,8.95,AR,1650419206
306,Marevo,57.3146,32.0804,35.33,88,14,7.47,RU,1650419206
307,Itarema,-2.9248,-39.9167,77.18,88,96,5.88,BR,1650419207
308,Bobo-Dioulasso,11.1771,-4.2979,84.65,65,0,11.5,BF,1650419207
309,Santa Maria,-29.6842,-53.8069,60.1,94,0,2.3,BR,1650419186
310,Cabra,37.4725,-4.4421,48.06,82,74,8.1,ES,1650419207
311,Vytegra,61.0064,36.4481,34.5,98,100,1.95,RU,1650419208
312,Kuloy,61.0305,42.4925,33.3,99,100,2.84,RU,1650419208
313,Cam Ranh,11.9214,109.1591,84.16,65,40,8.05,VN,1650419208
314,Broome,42.2506,-75.833,37.65,82,100,23.02,US,1650419209
